Player,Age,G,MP,FGA,eFG%,TRB,AST,PTS
Ramon Sessions,31,28,14,4.2,0.393,1.4,2.8,4.9
Jameer Nelson,35,50,20.3,4.9,0.473,2.1,3.6,4.9
Cheick Diallo,21,52,11.2,3.4,0.58,4.1,0.4,4.9
Jawun Evans,21,48,16.2,5.3,0.381,1.8,2.1,4.8
Ian Mahinmi,31,77,14.9,3.2,0.556,4.1,0.7,4.8
Thon Maker,20,74,16.7,4.3,0.46,3,0.6,4.8
JaVale McGee,30,65,9.5,3.4,0.621,2.6,0.5,4.8
Johnny O'Bryant,24,36,10.5,4.8,0.439,2.6,0.4,4.8
Álex Abrines,24,75,15.1,3.9,0.54,1.5,0.4,4.7
Tony Allen,36,22,12.4,4.1,0.505,2.1,0.4,4.7
Tyler Cavanaugh,23,39,13.3,3.9,0.546,3.3,0.7,4.7
Jaylen Morris,22,6,16.3,5.3,0.438,2.7,1.2,4.7
JaKarr Sampson,24,22,15.6,3.7,0.574,3.5,0.4,4.7
Jalen Jones,24,16,11.3,4.3,0.456,2.4,0.3,4.6
Willie Reed,27,42,10.2,2.9,0.674,2.9,0.2,4.6
Jordan Bell,23,57,14.2,3.2,0.627,3.6,1.8,4.6
Michael Carter-Williams,26,52,16.1,4.4,0.362,2.7,2.2,4.6
Amir Johnson,30,74,15.8,3.5,0.558,4.5,1.6,4.6
Andrew White,24,15,13.9,4.9,0.466,2.3,0.4,4.6
José Calderón,36,57,16,3.2,0.624,1.5,2.1,4.5
Raul Neto,25,41,12.1,3.7,0.52,1.2,1.8,4.5
Nik Stauskas,24,41,12.8,3.8,0.519,1.6,1,4.4
Zach Collins,20,66,15.8,4.4,0.458,3.3,0.8,4.4
Isaiah Hicks,23,18,13.3,4,0.472,2.3,0.9,4.4
Nerlens Noel,23,30,15.7,3.5,0.524,5.6,0.7,4.4
Emeka Okafor,35,26,13.6,3.7,0.505,4.6,0.3,4.4
Iman Shumpert,27,14,19.7,4.1,0.44,2.9,1.2,4.4
Travis Wear,27,17,13.4,4.2,0.465,2.2,0.4,4.4
Matthew Dellavedova,27,38,18.7,4,0.457,1.7,3.8,4.3
Treveon Graham,24,63,16.7,3.5,0.525,1.9,0.9,4.3
Shane Larkin,25,54,14.4,4.1,0.454,1.7,1.8,4.3
Miles Plumlee,29,55,16.7,3.3,0.583,4.1,0.8,4.3
Khem Birch,25,42,13.8,3,0.54,4.3,0.8,4.2
Torrey Craig,27,39,16.1,3.5,0.515,3.3,0.6,4.2
Sam Dekker,23,73,12.1,3.5,0.514,2.4,0.5,4.2
Timofey Mozgov,31,31,11.6,3,0.581,3.2,0.4,4.2
Adreian Payne,26,5,8.6,2,0.8,1.8,0,4.2
Damyean Dotson,23,44,10.8,3.7,0.516,1.9,0.7,4.1
Tyler Ennis,23,54,12.6,4.1,0.451,1.8,1.9,4.1
Joffrey Lauvergne,26,55,9.7,3.5,0.516,3.1,0.7,4.1
